"Country","City","Building_Type","Room_Type","Building_ID","Room_ID"
"Canada","Toronto","Residential","Apartment",1,1
"Canada","Toronto","Residential","Apartment",1,2
"Canada","Toronto","Residential","Apartment",1,3
"Canada","Toronto","Residential","Apartment",1,4
"Canada","Toronto","Residential","Apartment",1,5
"Canada","Toronto","Residential","Apartment",1,6
"Canada","Toronto","Residential","Apartment",1,7
"Canada","Toronto","Residential","Apartment",1,8
"Canada","Toronto","Residential","Apartment",1,9
"Canada","Toronto","Residential","Apartment",1,10
"Canada","Toronto","Residential","Apartment",1,11
"Canada","Toronto","Residential","Apartment",1,12
"Canada","Toronto","Residential","Apartment",1,13
"Canada","Toronto","Residential","Apartment",1,14
"Canada","Toronto","Residential","Apartment",1,15
"Canada","Toronto","Residential","Apartment",1,16
"Canada","Toronto","Residential","Apartment",1,17
"Canada","Toronto","Residential","Apartment",1,18
"Canada","Toronto","Residential","Apartment",1,19
"Canada","Toronto","Residential","Apartment",1,20
"Canada","Toronto","Residential","Apartment",1,21
"Canada","Toronto","Residential","Apartment",1,22
"Canada","Toronto","Residential","Apartment",1,23
"Canada","Toronto","Residential","Apartment",1,24
"Canada","Toronto","Residential","Apartment",1,25
"Canada","Toronto","Residential","Apartment",1,26
"Canada","Toronto","Residential","Apartment",1,27
"Canada","Toronto","Residential","Apartment",1,28
"Canada","Toronto","Residential","Apartment",1,29
"Canada","Toronto","Residential","Apartment",1,30